Time Period,Subscribers
01/04/2013,34240000
01/07/2013,35640000
01/10/2013,38010000
01/01/2014,41430000
01/04/2014,46130000
01/07/2014,47990000
01/10/2014,50650000
01/01/2015,54480000
01/04/2015,59620000
01/07/2015,62080000
01/10/2015,66020000
01/01/2016,70840000
01/04/2016,77710000
01/07/2016,79900000
01/10/2016,83280000
01/01/2017,89090000
01/04/2017,94360000
01/07/2017,99040000
01/10/2017,104020000
01/01/2018,110640000
01/04/2018,118900000
01/07/2018,124350000
01/10/2018,130420000
01/01/2019,139260000
01/04/2019,148860000
01/07/2019,151560000
01/10/2019,158330000
01/01/2020,167090000
01/04/2020,182860000
01/07/2020,192950000
01/10/2020,195150000
01/01/2021,203660000
01/04/2021,207640000
01/07/2021,209180000
01/10/2021,213560000
01/01/2022,221840000
01/04/2022,221640000
01/07/2022,220670000
01/10/2022,223090000
01/01/2023,230750000
01/04/2023,232500000
01/07/2023,238390000