COMPANY NAME,CITY,STATE/PROVINCE,OWNER/MAKER,COUNTRY
Choklat,Calgary,Alberta,Brad Churchill,Canada
Yukon Chocolate Company,Calgary,Alberta,Sydney Oland,Canada
Kin+Pod,Calgary,Alberta,Georden Spicer,Canada
Goldie,Calgary,Alberta,Amy Horne (instagram),Canada
Moth Chocolate,Calgary,Alberta,Geordan Spicer (mothchocolate.com),Canada
Ten Degrees,Calgary,Alberta,"Mark, Michele Scott, Bianca",Canada
The Jones Chocolate Co.,Edmonton,Alberta,Curtis Jones,Canada
Au Chocolat,Morinville,Alberta,Tammy MacDonald,Canada
Jacek,Sherwood Park,Alberta,"Jacqueline Jacek, Curtis Jones",Canada
Take a Fancy,Burnaby,British Columbia,Becks D'Angelo,Canada
Organicfair,Cobble Hill,British Columbia,Kent Goodwin,Canada
Kasama,East Vancouver,British Columbia,"Dominik Voser, Stefan Klopp",Canada
Beanpod,Fernie,British Columbia,James and Mary Heavey,Canada
Coco-Labo aka Coconama,North Vancouver,British Columbia,"Takanori Chiwata, Kayoko Hamamoto",Canada
Wild Sweets,Richmond,British Columbia,Dominique and Cindy Duby,Canada
East Van Roasters,Vancouver,British Columbia,"Shelley Bolton, Merri Schwartz",Canada
Silver Star,Vernon,British Columbia,"Kristy Obando, Shane McDougall",Canada
Sirene Artisan,Victoria,British Columbia,Taylor Kennedy,Canada
Uncouth,Victoria,British Columbia,Stephanie Sketchley and Heidi Lalonde,Canada
Cocoaro,Wells,British Columbia,Margret Inoue,Canada
Aschenti Cocoa,Winnipeg,Manitoba,Christian Mekoh,Canada
Popp Chocolates,Winnipeg,Manitoba,Constance Popp,Canada
Chocolat Voyageur,Hampton,New Brunswick,Dominique,Canada
Chocolat BerNard,Moncton,New Brunswick,,Canada
McGuire Chocolate,St. Andrews,New Brunswick,Mark McGuire and Victoria Myers,Canada
JacoBean,Mount Pearl,Newfoundland,Darryl Pike,Canada
Cabin Snacks,Yellowknife,NW Territories,Sarah Van Stiphout,Canada
Petite Patrie Fine Chocolate,Canning,Nova Scotia,"Gabrielle Breault, Peter Austin-Smith",Canada
Chocolate Hackers,Halifax,Nova Scotia,Stan Mozoluk and Cecile Klawatsch,Canada
Hummingbird,Almonte,Ontario,Erica Gilmour,Canada
Bruama's Artisan,Cambridge,Ontario,,Canada
Tribe Chocolate,Colborne,Ontario,Eric Berg,Canada
Finnia aka Ultimately Chocolate,Gore Bay,Ontario,Lisabeth Flanagan,Canada
My Sweet Sweet World,Hagersville,Ontario,Shola Ekperigin,Canada
Pearl Street Chocolate Co.,Hamilton,Ontario,Blaise Misiek,Canada
Coco Chocolate Company,Kingston,Ontario,Brendon McAleer,Canada
Vaka,London,Ontario,Serge Savchuk,Canada
Chocosol Traders,Toronto,Ontario,Michael Sacco,Canada
Marigolds Finest,Toronto,Ontario,Trelawnie Mead,Canada
Soma,Toronto,Ontario,David and Cynthia Castelan,Canada
Soul Roasters,Toronto,Ontario,"Katie Bartlett, Kyle Wilson",Canada
DesBarres,Uxbridge,Ontario,Erik and Ariane Hansen,Canada
Ambrosia,Waterloo,Ontario,"Tim Simpson, Aura Hertzog",Canada
Sweetness Chocolate,Windsor,Ontario,Michele Bowman,Canada
Habitual,Woodstock,Ontario,Dave Cook,Canada
Olivia,Cantley,Quebec,David MacDonald,Canada
Chaleur B Chocolat,Carleton-sur-Mer,Quebec,Dany Marquis,Canada
Chocolats Monarque,Montreal,Quebec,Daniel,Canada
Chocolats Privilege,Montreal,Quebec,Ludovic Fresse,Canada
Avanaa,Montreal,Quebec,Catherine Goulet,Canada
Qantu Chocolate,Montreal,Quebec,Elfie Maldonado Garcia and Maxime,Canada
Cacao 70,Montreal,Quebec,Gaiia Kim,Canada
Rica Chocolat,Montreal,Quebec,"Adrien Arnoux, Philippe Fortier, Renaud Miniaou",Canada
Barbon,Montreal,Quebec,,Canada
Palette de Bine,Mont-Tremblant,Quebec,Christine Blais,Canada
Eau de Rose Chocolaterie,Sainte Croix,Quebec,Karine Drolet,Canada
Village Chocolate,Saskatoon,Saskatchewan,Danielle Desmarais-Clace,Canada
Match,Birmingham,Alabama,Kala Northrup,US
Wildland Chocolate,Anchorage,Alaska,Jimmy and Suzanne,US
Nutwhats,Chandler,Arizona,Lisa and Jim Rast,US
DNA,Chandler,Arizona,Denae Hostetler,US
Chocofin,Fountain Hills,Arizona,Lou Mirabella,US
Spero,Mesa,Arizona,Craig Eaton,US
Café Cultiva,Naco,Arizona,Jessica and Jesse,US
Chocol'ate,Old Bisbee,Arizona,Gordon Terpening,US
Brazen,Phoenix,Arizona,Case Coniglio,US
Embers,Phoenix,Arizona,Tandy Peterson,US
Stone Grindz,Scottsdale,Arizona,Kasey McCaslin,US
Zak's,Scottsdale,Arizona,Jim and Maureen Elitzak,US
Monsoon,Tucson,Arizona,Adam Krantz,US
Kyya aka Forgotten Chocolate,Elm Springs,Arkansas,Rick Boosey,US
Markham & Fitz aka Hello Cocoa,Fayetteville,Arkansas,"Lauren Blanco, Preston Stewart",US
Izard (closed),Little Rock,Arkansas,Nathaniel Izard,US
Dick Taylor,Ascata,California,"Adam Dick, Dustin Taylor",US
Bisou,Berkeley,California,"Tracey Britton, Eli Curtis",US
Guittard,Burlingame,California,Gary Guittard,US
Snake & Butterfly,Campbell,California,"Celeste Walker, James Hull",US
PipeVine,Chico,California,Rusty Bogart,US
Armstrong Chocolate (closed),Chico,California,Matt Armstrong,US
Michael Dunn (closed),Concord,California,Michael Dunn,US
Chocovivo,Culver City,California,Patricia Tsai,US
Molucca,Fresno,California,"Yohanes Makmur, Radinal Latuconsina",US
Raphio Chocolate,Fresno,California,Elisa and Yohanes Otavi-Makmur,US
Or Dubh,Gilroy,California,Trish and Michael O'Dwyer,US
Volo,Healdsburg,California,Jeff Mall,US
El Buen Cacao,Idyllwild,California,Jessica Ramirez,US
ChocXO,Irvine,California,Richard Foley,US
LetterPress,Los Angeles,California,David Menkes,US
Bar Au Chocolat,Manhattan Beach,California,Nicole Trutanich,US
Limited,Mountain View,California,Herbert Czymontek,US
Mayacama,Napa,California,Elena Sirignano,US
Cello,Nevada City,California,Ned and Debi Russell,US
Sacred,Novato,California,Steve Adler,US
Bittersweet Origins (closed),Oakland,California,Seneca Klassen,US
Endorfin Foods,Oakland,California,Brian Wallace,US
Oakland Chocolate Co.,Oakland,California,Nancy Nadel,US
CAR Artisan,Pasadena,California,Haris Car,US
Parliament,Redlands,California,Ryan Berk,US
Marsatta,Redondo Beach,California,Jeffray Gardner,US
Cru,Roseville,California,Karla McNeil-Rueda,US
Confluence,Sacramento,California,Dave Huston,US
Nibble,San Diego,California,"David Mejia, Sandra Bedoya",US
Dandelion,San Francisco,California,"Todd Masonis, Cameron Ring",US
L'Amourette,San Francisco,California,Andre V. Lamourette,US
Scharffen Berger Special Maker,San Francisco,California,"Paul Cherrie, Ray Major",US
TCHO,San Francisco,California,Timothy Childs,US
Zac Squared,San Francisco,California,"Randy Zack, Zak Policzer",US
Ninth (9th) & Larkin,San Francisco,California,Lan Phan,US
Marin Munchies,San Rafael,California,Katja Reitemeyer,US
twenty-four blackbirds,Santa Barbara,California,Mike Orlando,US
Mutari aka White Label Chocolate,Santa Cruz,California,"Katy Oursler, Stephen Beaumier",US
Tiny House,Santa Cruz,California,"Maiana Lasevicious, Gustavo Hilsdorf",US
Firefly,Sebastopol,California,Jonas Ketterle,US
Mancali Craft Chocolate,Tustin,California,Mark,US
ZenBunni,Venice,California,Zen and Bunni,US
Starchild,Willits,California,Ash and Brittany Maki,US
Fortuna,Boulder,Colorado,Aldo Ramirez Carrasco,US
Moksha,Boulder,Colorado,Jennifer and Michael Caines,US
Shanao Cacao,Boulder,Colorado,Michael Caines,US
Pollinator,Carbondale,Colorado,Mark Burrows,US
Tchefuncte,Colorado Springs,Colorado,Tiffany and Richard Dull,US
Cultura Craft Chocolate,Denver,Colorado,"Matt Armstrong, Damaris (Graves) Ronkanen",US
DAR,Denver,Colorado,Gila and Joel Dar,US
Dead Dog Chocolate aka Pomm (closed),Denver,Colorado,"Damaris Graves, Katelyn Fox",US
DeVries (closed),Denver,Colorado,Steve DeVries,US
WKND,Denver,Colorado,Hannah Morris,US
Animas,Durango,Colorado,Carley Snider,US
Beehive,Fort Collins,Colorado,Ian Horvath,US
Nuance,Fort Collins,Colorado,Toby and Alix Gadd,US
Plains to Peaks,Longmont,Colorado,Jeff and Sunni Sylvester,US
Gus Chocolate,Ouray,Colorado,Nathan Montgomery,US
Simpson & Vail,Brookfield,Connecticut,Jim and Joan Harron,US
Mystic River,Mystic,Connecticut,Bill and Casey Gash,US
Double Spiral,Ardentown,Delaware,Stuart and Mhairi Craig,US
Makenu,Atlantic Beach,Florida,"Jessica Deibel, Tucker Juan",US
5150 Chocolate Co.,Delray Beach,Florida,Tyler Levitetz,US
Cacao Gonzalez,Hunters Creek,Florida,Jessy Pino,US
Cao Chocolates,Miami,Florida,Ricardo Cao Trillos,US
Exquisito,Miami,Florida,Carolina Quijano,US
Castronovo,Stuart,Florida,Denise Castronovo,US
Pinellas,Tampa Bay,Florida,"Adam Vessa, Cody Vessa",US
Ratza,Tarpon Springs,Florida,Sara Ratza,US
Condor,Athens,Georgia,Peter and Nick Dale,US
Cacao Atlanta,Atlanta,Georgia,Kristen Hard,US
Park 75,Atlanta,Georgia,Robert Gerstenecker,US
Xocolatl,Atlanta,Georgia,"Elaine Read, Matt Weyandt",US
Cosecha,Atlanta,Georgia,Katie Garstin,US
Mills Family Chocolate,Atlanta,Georgia,Walter Mills,US
Moloa'a Bay,Anahola (Kaua'I),Hawai'I,Daphne McClure,US
Puna Chocolate Company,Hawai'i,Hawai'I,Adam Potter,US
Island Sharks aka Shark's,Hilo (Hawaii),Hawai'I,"Erin and Tom Sharkey, Ethan Swift, Bob Schneider",US
Lonahana,Honolulu (Oahu),Hawai'I,Seneca Klassen,US
Madre,Honolulu (Oahu),Hawai'I,Nat Bletter,US
Manoa,Kailua (Oahu),Hawai'I,Dylan Butterbaugh,US
Original Hawaiian Chocolate Factory,Kailua-Kona(Hawaii),Hawai'I,Pam and Bob Cooper,US
Garden Island Chocolate aka Nanea,Kilauea (Kauai),Hawai'I,Koa Kahili,US
Maui Kuia Estate,Maui,Hawai'i,Gunars Valkirs,US
Chocolates by Josh (aka Box Chocolates),Boise,Idaho,Joshua Parker,US
Sandpoint Chocolate Bear,Sandpoint,Idaho,Carrie and Dennis Powell,US
Noir d'Ebine,Evanston,Illinois,Journey Shannon,US
barcacaochocolat,Schiller Park,Illinois,Matthew Schreiner,US
Ethereal Confections,Woodstock,Illinois,"Mary Ervin, Sara Ervin",US
Bowler Man,Michigan City,Indiana,Michael and Amanda Joyner,US
Davis,Mishawaka,Indiana,Brent Davis,US
Violet Sky,South Bend,Indiana,Hans and Alison Westerink,US
Hazel Hill,Topeka,Kansas,Nick and Terry Xidis,US
Cellar Door Chocolates,Louisville,Kentucky,Erika Chavez-Graziano,US
Whelpdale,Louisville,Kentucky,Gary Whelpdale,US
Acalli,Gretna,Louisiana,Carol Morse,US
Preservation,Lafayette,Louisiana,Carter Liles,US
Piety and Desire,New Orleans,Louisiana,Christopher Nobles,US
Bixby & Co.,Rockland,Maine,Kate McAleer,US
Chocolibrium,Annapolis,Maryland,Snigda Kanchi,US
Charm School,Baltimore,Maryland,Joshua Rosen,US
Spagnvola,Gaithersburg,Maryland,Eric and Crisoire Reid,US
Sibu Sura,Myersville,Maryland,Julie McLean,US
Vivra,Boston,Massachusetts,Bob and Paige Leavitt,US
BOHO,Florence,Massachusetts,Charlie Burke,US
Nantucket Faraway Chocolate,Nantucket,Massachusetts,Andre Marrero,US
Chequessett,North Truro,Massachusetts,"Katherine Reed, Josiah Mayo",US
Somerville,Somerville,Massachusetts,Eric Parkes,US
Taza,Somerville,Massachusetts,Alex Whitmore,US
Goodnow Farms,Sudbury,Massachusetts,Tom and Monica Rogan,US
Rogue (closed),Three Rivers,Massachusetts,Colin Gasko,US
Dwaar,Detroit,Michigan,Rajani Konkipudi,US
Mindo,Dexter,Michigan,"Barbara Wilson, Joe Meza",US
Perennial,Holland,Michigan,"Andrew Essink, Jason Los",US
Zachariahs Chocolates,Iron Mountain,Michigan,Zachariah Polasky,US
Fresh Coast/Just Good Chocolate (closed),Leland,Michigan,Nichole Warner,US
Davin's,Marquette,Michigan,Davin Makela,US
Crow & Moss,Petoskey,Michigan,Mike Davies,US
Peppalo,Tecumseh,Michigan,John and Erika Aylward,US
Great Lakes,Traverse City,Michigan,Dave and Shana Sicotte,US
Terroir,Fergus Falls,Minnesota,Kristin and Josh Mohagen,US
Meadowlands,Meadowlands,Minnesota,"Clyo Howard, Beryl Wells-Hamilton",US
K'ul,Minneapolis,Minnesota,"Peter Kelsey, Christian Aldrich",US
Chocolate Compromiso,St. Paul,Minnesota,Carrie Anderson,US
Two Ravens,St. Paul,Minnesota,Randall Johnson,US
Patric,Columbia,Missouri,Alan Mclure,US
Christopher Elbow,Kansas City,Missouri,Christopher Elbow,US
Askinosie,Springfield,Missouri,Shawn Askinosie,US
Honeymoon,St. Louis,Missouri,Cam and Haley Loyet,US
Ducrey Chocolate Maker,Missoula,Montana,Claudia Ducrey,US
Burnt Fork Bend,Stevensville,Montana,Jennifer Wicke,US
Sweet Minou,Lincoln,Nebraska,Rebecca Ankenbrand,US
hexx,Las Vegas,Nevada,Matthew Silverman,US
Source Chocolate,Bow,New Hampshire,Samantha Fox,US
Enna Chocolate,Epping,New Hampshire,Enna Grazier,US
La Cascade du Chocolat,Exeter,New Hampshire,"Samantha Brown, Thomas Nash",US
Loon Chocolate,Manchester,New Hampshire,Scott Watson,US
Dancing Lion,Manchester,New Hampshire,Richard Tango-Lowy,US
Vicuna (closed),Peterborough,New Hampshire,"Pierre Fabre, Cat Wilder",US
Portsmouth Cacao,Portsmouth,New Hampshire,"Ben Hagerty, Mackenzie",US
MaDe Atlantic City Chocolate Bar,Atlantic City,New Jersey,Mark and Deborah Pellegrino,US
Anahata,Edison,New Jersey,Melanie Flores,US
Parre Chocolat,Fair Lawn,New Jersey,Pearl Wong,US
Glennmade (closed),Hoboken,New Jersey,Glenn Petriello,US
Vesta,Montclair,New Jersey,Roger Rodriguez,US
La Chorena,Ridgefield,New Jersey,Marisol and Thomas Forbes,US
Bankston,Spring Lake Heights,New Jersey,Tom and Leah Barlow,US
Earth Dog Chocolate Foundry,Trenton,New Jersey,David Fiscarelli,US
Eldora Craft Chocolate,Albuquerque,New Mexico,Steve Prickett,US
Bate Bate,Albuquerque,New Mexico,Belen Romero,US
Cacao Santa Fe (aka Art of Chocolate),Santa Fe,New Mexico,"Melanie Boudar, Mark Sciscenti, Derek Lanter",US
Chokola,Taos,New Mexico,Javier and Deborah Abad Etxaniz,US
Hi-Bar,Ithaca,New York,Mya Menter,US
Dark Forest,Lancaster,New York,Joanne and Dan Sundell,US
Breeze Mill (closed),New York,New York,Ari Nadin,US
Bronx Grrl Chocolate,New York,New York,Regina Monaco,US
Cacao Market,New York,New York,Maribel Lieberman,US
Cacao Prieto,New York,New York,Daniel Preston,US
Dalloway,New York,New York,"Sara Sugar, Kelechi Anyanwu",US
Fine & Raw,New York,New York,Daniel Sklaar,US
Jacques Torres,New York,New York,Jacques Torres,US
Johnny Iuzzini,New York,New York,Johnny Iuzzini,US
Mast Brothers,New York,New York,"Rick Mast, Michael Mast",US
Raaka,New York,New York,"Ryan Cheney, Nate Hodge",US
Sol Cacao,New York,New York,"Maloney Bros. (Dominic, Nicholas, Daniel)",US
Gotham,New York,New York,Ron Paprocki,US
Christophe Toury (closed),New York,New York,Christophe Toury,US
Ridgewood,New York,New York,Constantine and Ruby Kalbaxis,US
Adams Chocolate,Nyack,New York,Adam Berrios,US
Fruition,Shokan,New York,Bryan Graham,US
Primo Botanica,Troy,New York,Danielle and Oliver Holecek,US
Tocoti,Walworth,New York,"Dale Montondo, Ellen",US
French Broad,Asheville,North Carolina,Daniel Ratigan,US
Santosha aka Raw Shakti,Asheville,North Carolina,Don Rowe,US
Potts Chocolate,Charlotte,North Carolina,Blair Potts,US
The Underground Truffle,Charlotte,North Carolina,Esa Weinreb,US
Little Guatemala,Morgantown,North Carolina,Christian and Erica Ramazzini,US
Escazu,Raleigh,North Carolina,Danielle Ceuteno & Tiana Young,US
Videri,Raleigh,North Carolina,Sam Ratto,US
Black Mountain,Swamanoa,North Carolina,Brent Peters,US
Conjure Craft Chocolate,Swannanoa Valley,North Carolina,Marjory Rockwell,US
Brasstown aka It's Chocolate,Winston-Salem,North Carolina,"Rom Still, Barbara Price",US
Maverick,Cincinnati,Ohio,Paul Picton,US
Cleveland Chocolate Co.,Cleveland,Ohio,Rebecca Hess,US
Sweet Bean (sweetbeancandies),Cleveland,Ohio,Bob and Krisitn Barnes,US
Ohiyo,Columbus,Ohio,Mike Condo,US
Finca,Logan,Ohio,Dan Hankle,US
Hemisphere Craft Chocolate,Mechanicsburg,Ohio,Paul and Grace Kurtz,US
Zero Tolerance,Oklahoma City,Oklahoma,Roy and Maura Lapinski Baker,US
Good Girl,Oklahoma City,Oklahoma,Tabatha Carr,US
Glacier Confection,Tulsa,Oklahoma,Bill and Cynthia Copeland,US
Dagoba,Ashland,Oregon,Hershey (formerly Frederick Schilling),US
Blue Scorcher,Astoria,Oregon,Peggy Bondurant,US
Black Sheep,Bend,Oregon,Tom Seeley and Cecelia Marques,US
Seahorse,Bend,Oregon,R.C. and Amanda Gartrell,US
Lillie Belle,Central Point,Oregon,Jeff Shepherd,US
Sanity Chocolate,Cottage Grove,Oregon,Mike Caven,US
Map Chocolate Co.,Eugene,Oregon,Mackenzie Rivers,US
Moku,Philomath,Oregon,Maureen Nikaido,US
Cocanu (aka Cloudforest) (closed),Portland,Oregon,Sebastian Cisneros,US
Creo,Portland,Oregon,Tim Straub,US
Pitch Dark,Portland,Oregon,Brian Flick,US
Ranger,Portland,Oregon,"Rhonda Zender, George and Patrick",US
Spencer,Portland,Oregon,Robert O'Bymes,US
Treehouse aka Indaphoria,Portland,Oregon,Aaron Koch,US
Woodblock,Portland,Oregon,Charley Wheelock,US
Foxglove,Portland,Oregon,Linnea Surla,US
Roste,Portland,Oregon,Michael Arnovitz,US
Mana,Portland,Oregon,Holly Hukill,US
Sacred Summit,Portland,Oregon,Dario Barone,US
Wren (closed),Portland,Oregon,Ryan Herron and Elizabeth Buckingham,US
Dulcinea Craft Chocolate (closed),Beaver,Pennsylvania,Laurie Rice,US
Nathan Miller,Chambersburg,Pennsylvania,Nathan Miller,US
Kto (closed),Hermitage,Pennsylvania,Milford Dennison,US
Moka Origins,Honesdale,Pennsylvania,"Jeff Abella, Ishan Tigunait",US
Chocolate Alchemist,Philadelphia,Pennsylvania,Robert Campbell,US
Love Bar (closed),Philadelphia,Pennsylvania,"Rachel D'Angeli, Joe Bernstein",US
Shane Chocolate Works,Philadelphia,Pennsylvania,"Kevin Paschall, Jeffrey Heinbach",US
Triangle Roasters,Philadelphia,Pennsylvania,Joy Zernhelt,US
Concetta's,North Scituate,Rhode Island,Lori Flynn,US
Bitte Chocolate,Charleston,South Carolina,Michael Hoffman,US
Cocoa Academic,Charleston,South Carolina,Bethany Nunn,US
Night Owl,Greenville,South Carolina,Makesha Duncan,US
Lumineux,Greenville,South Carolina,Ben and Becca Snyder,US
Kontur,Greenville,South Carolina,Derek Pedersen,US
Batch Craft,Rock Hill,South Carolina,Tamara and Zan,US
MonChoco,Rapid City,South Dakota,Dana Mroueh,US
Belle Chocolate,Chattonooga,Tennessee,Brendan Patrick,US
Jackson Family Chocolate aka Middlebury,Johnson City,Tennessee,Stephanie and Andy Jackson,US
Lirio Chocolate,Knoxville,Tennessee,Chris Kopek,US
Unrefined Chocolate,Knoxville,Tennessee,Nathan Hilbert,US
Olive and Sinclair,Nashville,Tennessee,Scott Witherow,US
Poppy & Peep,Nashville,Tennessee,Mark and Evane Stoner,US
Arete,Spencer,Tennessee,David and Leslie Senk,US
Sublime,Allen,Texas,Troy Easton,US
Isidro,Austin,Texas,Adam Gretencord,US
Kiskadee,Austin,Texas,Laura Atlas,US
SRSLY,Austin,Texas,Bob Williamson,US
Madhu,Austin,Texas,Harshit Gupta and Elliot Curelop,US
CocoAndre,Dallas,Texas,"Andrea Pedraza, Cindy Pedraza",US
Five (5) Mile,Dallas,Texas,Shannon Neffendorf,US
Dripping Springs,Dripping Springs,Texas,Bob and Tracy,US
Ceda,Edinburg,Texas,Eddie Benavidez,US
Mahogany,Lubbock,Texas,Joshua Parker,US
Mozna Chocolate,McAllen,Texas,Anthony Matulewicz,US
Maribea,Odessa,Texas,Mark Merritt and Joseph Gabaldon,US
Casa Chocolates,San Antonio,Texas,Brian Mikiten,US
Tejas,Spring,Texas,Scott Moore,US
Affinity,Sugar Land,Texas,Chris Campbell,US
Xocolla,Sugar Land,Texas,Tony Najjar,US
Noble Bean aka Jerjobo,Bountiful,Utah,Jerry Tadlock,US
Thistle & Rose aka Aggie USU,Logan,Utah,"Silvana Martini, Steve Shelton",US
Amano,Orem,Utah,Art Pollard,US
Ritual,Park City,Utah,"Robbie Stout, Anna Davies",US
Chocolate Conspiracy,Salt Lake City,Utah,AJ Wentworth,US
Millcreek Cacao Roasters,Salt Lake City,Utah,"Dana Brewster, Mark DelVecchio",US
Solstice,Salt Lake City,Utah,"Scott Querry, DeAnn Wallin",US
Taste Artisan aka Coleman and Davis,Salt Lake City,Utah,"Morgan Coleman, Phil Davis",US
The Cacao Bean Project,Sandy,Utah,Lance and Shannon Brown,US
Durci,Wasatch Range,Utah,Eric Durtschi,US
Blue Bandana (closed),Burlington,Vermont,Eric Lampman,US
Kerchner,Burlington,Vermont,Charles Kerchner,US
Pinnacle,Enosburg Falls,Vermont,Tiffany and Ben Howard,US
Altus aka Cao Artisan,Bedford,Virginia,Carl and Mary Matice,US
Chocolate Con Amor,Berryville,Virginia,Dan Lantonio,US
Tightrope,Bluemont,Virginia,"Jason Clement, Ben Baboval",US
Frolic,Charlottesville,Virginia,"Renee Shuman, Logan Byrd",US
Shark Mountain,Charlottesville,Virginia,Jonny Nuckols,US
Odyssey,Charlottesville,Virginia,Johnny Epps,US
Taylor Made,Chester,Virginia,Steve and Kim Taylor,US
Wild Blue,Crozet,Virginia,Mike and Jessie Sever,US
Veritas Artizen,Loudoun,Virginia,Chris Volz and Andrea Howard-Volz,US
Upchurch,Richmond,Virginia,Stephen G.,US
River-Sea,Sterling,Virginia,Mariano and Krissee,US
Potomac,Woodbridge,Virginia,Ben Rasmussen,US
Powell & Jones,Bainbridge Island,Washington,Sally Anne Jones,US
Vavako,Bellevue,Washington,Nicolas Espinosa,US
Resonate,Bellingham,Washington,Will Mannino,US
Fresco,Lynden,Washington,Rob Anderson,US
StRita Supreme,Marysville,Washington,John Henry,US
Cocoa Forge,Port Townsend,Washington,Susan Fitch,US
Bellflower,Seattle,Washington,Will Dixon and Callie Neylan,US
Chocolate Spiel,Seattle,Washington,Angi Pleiderer,US
Spinnaker,Seattle,Washington,Kelly Van Arsdale,US
Indi,Seattle,Washington,Erin Andrews,US
Theo,Seattle,Washington,Joe Whinney,US
Tease,Tacoma,Washington,Julie Farrell,US
Chocotenango,Washington D.C.,Washington D.C.,Ismael Neggaz,US
Harper Macaw,Washington D.C.,Washington D.C.,Sarah and Colin Hartman,US
Undone,Washington D.C.,Washington D.C.,Adam and Kristen Kavalier,US
Willie Coca,Washington D.C.,Washington D.C.,Willie Coca,US
ChiamMaya,Huntington,West Virginia,Walt Lewis,US
Appalachian,Shepherdstown,West Virginia,John Meyer,US
Wm Chocolate,Madison,Wisconsin,William Marx,US
Indulgence,Milwaukee,Wisconsin,Julie Waterman,US
Tabal,Milwaukee,Wisconsin,Dan Bieser,US
Sjolinds,Mount Horeb,Wisconsin,Tracy Thompson,US
Del Sol,Viroqua,Wisconsin,Lynn Kronschnabel,US
Roots,Wisconsin Dells,Wisconsin,Lisa Nelson,US
Deity Chocolate,Cody,Wyoming,Erin and Jake Robertson,US
