,transaction date,house age,distance to the nearest MRT station,number of convenience stores,latitude,longitude,house price of unit area
206,2015-12-13,22.2,379.5575,10,24.98343,121.53762,44.0
207,2015-12-20,38.5,665.0636,3,24.97503,121.53692,34.2
208,2015-12-27,11.5,1360.139,1,24.95204,121.54842,26.2
209,2016-01-03,34.8,175.6294,8,24.97347,121.54271,40.9
210,2016-01-10,5.2,390.5684,5,24.97937,121.54245,52.2
211,2016-01-17,0.0,274.0144,1,24.9748,121.53059,43.5
212,2016-01-24,17.6,1805.665,2,24.98672,121.52091,31.1
213,2016-01-31,6.2,90.45606,9,24.97433,121.5431,58.0
214,2016-02-07,18.1,1783.18,3,24.96731,121.51486,20.9
215,2016-02-14,19.2,383.7129,8,24.972,121.54477,48.1
216,2016-02-21,37.8,590.9292,1,24.97153,121.53559,39.7
217,2016-02-28,28.0,372.6242,6,24.97838,121.54119,40.8
218,2016-03-06,13.6,492.2313,5,24.96515,121.53737,43.8
219,2016-03-13,29.3,529.7771,8,24.98102,121.53655,40.2
220,2016-03-20,37.2,186.5101,9,24.97703,121.54265,78.3
221,2016-03-27,9.0,1402.016,0,24.98569,121.5276,38.5
222,2016-04-03,30.6,431.1114,10,24.98123,121.53743,48.5
223,2016-04-10,9.1,1402.016,0,24.98569,121.5276,42.3
224,2016-04-17,34.5,324.9419,6,24.97814,121.5417,46.0
225,2016-04-24,1.1,193.5845,6,24.96571,121.54089,49.0
226,2016-05-01,16.5,4082.015,0,24.94155,121.50381,12.8
227,2016-05-08,32.4,265.0609,8,24.98059,121.53986,40.2
228,2016-05-15,11.9,3171.329,0,25.00115,121.51776,46.6
229,2016-05-22,31.0,1156.412,0,24.9489,121.53095,19.0
230,2016-05-29,4.0,2147.376,3,24.96299,121.51284,33.4
231,2016-06-05,16.2,4074.736,0,24.94235,121.50357,14.7
232,2016-06-12,27.1,4412.765,1,24.95032,121.49587,17.4
233,2016-06-19,39.7,333.3679,9,24.98016,121.53932,32.4
234,2016-06-26,8.0,2216.612,4,24.96007,121.51361,23.9
235,2016-07-03,12.9,250.631,7,24.96606,121.54297,39.3
236,2016-07-10,3.6,373.8389,10,24.98322,121.53765,61.9
237,2016-07-17,13.0,732.8528,0,24.97668,121.52518,39.0
238,2016-07-24,12.8,732.8528,0,24.97668,121.52518,40.6
239,2016-07-31,18.1,837.7233,0,24.96334,121.54767,29.7
240,2016-08-07,11.0,1712.632,2,24.96412,121.5167,28.8
241,2016-08-14,13.7,250.631,7,24.96606,121.54297,41.4
242,2016-08-21,2.0,2077.39,3,24.96357,121.51329,33.4
243,2016-08-28,32.8,204.1705,8,24.98236,121.53923,48.2
244,2016-09-04,4.8,1559.827,3,24.97213,121.51627,21.7
245,2016-09-11,7.5,639.6198,5,24.97258,121.54814,40.8
246,2016-09-18,16.4,389.8219,6,24.96412,121.54273,40.6
247,2016-09-25,21.7,1055.067,0,24.96211,121.54928,23.1
248,2016-10-02,19.0,1009.235,0,24.96357,121.54951,22.3
249,2016-10-09,18.0,6306.153,1,24.95743,121.47516,15.0
250,2016-10-16,39.2,424.7132,7,24.97429,121.53917,30.0
251,2016-10-23,31.7,1159.454,0,24.9496,121.53018,13.8
252,2016-10-30,5.9,90.45606,9,24.97433,121.5431,52.7
253,2016-11-06,30.4,1735.595,2,24.96464,121.51623,25.9
254,2016-11-13,1.1,329.9747,5,24.98254,121.54395,51.8
255,2016-11-20,31.5,5512.038,1,24.95095,121.48458,17.4
256,2016-11-27,14.6,339.2289,1,24.97519,121.53151,26.5
257,2016-12-04,17.3,444.1334,1,24.97501,121.5273,43.9
258,2016-12-11,0.0,292.9978,6,24.97744,121.54458,63.3
259,2016-12-18,17.7,837.7233,0,24.96334,121.54767,28.8
260,2016-12-25,17.0,1485.097,4,24.97073,121.517,30.7
261,2017-01-01,16.2,2288.011,3,24.95885,121.51359,24.4
262,2017-01-08,15.9,289.3248,5,24.98203,121.54348,53.0
263,2017-01-15,3.9,2147.376,3,24.96299,121.51284,31.7
264,2017-01-22,32.6,493.657,7,24.96968,121.54522,40.6
265,2017-01-29,15.7,815.9314,4,24.97886,121.53464,38.1
266,2017-02-05,17.8,1783.18,3,24.96731,121.51486,23.7
267,2017-02-12,34.7,482.7581,5,24.97433,121.53863,41.1
268,2017-02-19,17.2,390.5684,5,24.97937,121.54245,40.1
269,2017-02-26,17.6,837.7233,0,24.96334,121.54767,23.0
270,2017-03-05,10.8,252.5822,1,24.9746,121.53046,117.5
271,2017-03-12,17.7,451.6419,8,24.96945,121.5449,26.5
272,2017-03-19,13.0,492.2313,5,24.96515,121.53737,40.5
273,2017-03-26,13.2,170.1289,1,24.97371,121.52984,29.3
274,2017-04-02,27.5,394.0173,7,24.97305,121.53994,41.0
275,2017-04-09,1.5,23.38284,7,24.96772,121.54102,49.7
276,2017-04-16,19.1,461.1016,5,24.95425,121.5399,34.0
277,2017-04-23,21.2,2185.128,3,24.96322,121.51237,27.7
278,2017-04-30,0.0,208.3905,6,24.95618,121.53844,44.0
279,2017-05-07,2.6,1554.25,3,24.97026,121.51642,31.1
280,2017-05-14,2.3,184.3302,6,24.96581,121.54086,45.4
281,2017-05-21,4.7,387.7721,9,24.98118,121.53788,44.8
282,2017-05-28,2.0,1455.798,1,24.9512,121.549,25.6
283,2017-06-04,33.5,1978.671,2,24.98674,121.51844,23.5
284,2017-06-11,15.0,383.2805,7,24.96735,121.54464,34.4
285,2017-06-18,30.1,718.2937,3,24.97509,121.53644,55.3
286,2017-06-25,5.9,90.45606,9,24.97433,121.5431,56.3
287,2017-07-02,19.2,461.1016,5,24.95425,121.5399,32.9
288,2017-07-09,16.6,323.6912,6,24.97841,121.5428,51.0
289,2017-07-16,13.9,289.3248,5,24.98203,121.54348,44.5
290,2017-07-23,37.7,490.3446,0,24.97217,121.53471,37.0
291,2017-07-30,3.4,56.47425,7,24.95744,121.53711,54.4
292,2017-08-06,17.5,395.6747,5,24.95674,121.534,24.5
293,2017-08-13,12.6,383.2805,7,24.96735,121.54464,42.5
294,2017-08-20,26.4,335.5273,6,24.9796,121.5414,38.1
295,2017-08-27,18.2,2179.59,3,24.96299,121.51252,21.8
296,2017-09-03,12.5,1144.436,4,24.99176,121.53456,34.1
297,2017-09-10,34.9,567.0349,4,24.97003,121.5458,28.5
298,2017-09-17,16.7,4082.015,0,24.94155,121.50381,16.7
299,2017-09-24,33.2,121.7262,10,24.98178,121.54059,46.1
300,2017-10-01,2.5,156.2442,4,24.96696,121.53992,36.9
301,2017-10-08,38.0,461.7848,0,24.97229,121.53445,35.7
302,2017-10-15,16.5,2288.011,3,24.95885,121.51359,23.2
303,2017-10-22,38.3,439.7105,0,24.97161,121.53423,38.4
304,2017-10-29,20.0,1626.083,3,24.96622,121.51668,29.4
305,2017-11-05,16.2,289.3248,5,24.98203,121.54348,55.0
306,2017-11-12,14.4,169.9803,1,24.97369,121.52979,50.2
307,2017-11-19,10.3,3079.89,0,24.9546,121.56627,24.7
308,2017-11-26,16.4,289.3248,5,24.98203,121.54348,53.0
309,2017-12-03,30.3,1264.73,0,24.94883,121.52954,19.1
310,2017-12-10,16.4,1643.499,2,24.95394,121.55174,24.7
311,2017-12-17,21.3,537.7971,4,24.97425,121.53814,42.2
312,2017-12-24,35.4,318.5292,9,24.97071,121.54069,78.0
313,2017-12-31,8.3,104.8101,5,24.96674,121.54067,42.8
314,2018-01-07,3.7,577.9615,6,24.97201,121.54722,41.6
315,2018-01-14,15.6,1756.411,2,24.9832,121.51812,27.3
316,2018-01-21,13.3,250.631,7,24.96606,121.54297,42.0
317,2018-01-28,15.6,752.7669,2,24.97795,121.53451,37.5
318,2018-02-04,7.1,379.5575,10,24.98343,121.53762,49.8
319,2018-02-11,34.6,272.6783,5,24.95562,121.53872,26.9
320,2018-02-18,13.5,4197.349,0,24.93885,121.50383,18.6
321,2018-02-25,16.9,964.7496,4,24.98872,121.53411,37.7
322,2018-03-04,12.9,187.4823,1,24.97388,121.52981,33.1
323,2018-03-11,28.6,197.1338,6,24.97631,121.54436,42.5
324,2018-03-18,12.4,1712.632,2,24.96412,121.5167,31.3
325,2018-03-25,36.6,488.8193,8,24.97015,121.54494,38.1
326,2018-04-01,4.1,56.47425,7,24.95744,121.53711,62.1
327,2018-04-08,3.5,757.3377,3,24.97538,121.54971,36.7
328,2018-04-15,15.9,1497.713,3,24.97003,121.51696,23.6
329,2018-04-22,13.6,4197.349,0,24.93885,121.50383,19.2
330,2018-04-29,32.0,1156.777,0,24.94935,121.53046,12.8
331,2018-05-06,25.6,4519.69,0,24.94826,121.49587,15.6
332,2018-05-13,39.8,617.7134,2,24.97577,121.53475,39.6
333,2018-05-20,7.8,104.8101,5,24.96674,121.54067,38.4
334,2018-05-27,30.0,1013.341,5,24.99006,121.5346,22.8
335,2018-06-03,27.3,337.6016,6,24.96431,121.54063,36.5
336,2018-06-10,5.1,1867.233,2,24.98407,121.51748,35.6
337,2018-06-17,31.3,600.8604,5,24.96871,121.54651,30.9
338,2018-06-24,31.5,258.186,9,24.96867,121.54331,36.3
339,2018-07-01,1.7,329.9747,5,24.98254,121.54395,50.4
340,2018-07-08,33.6,270.8895,0,24.97281,121.53265,42.9
341,2018-07-15,13.0,750.0704,2,24.97371,121.54951,37.0
342,2018-07-22,5.7,90.45606,9,24.97433,121.5431,53.5
343,2018-07-29,33.5,563.2854,8,24.98223,121.53597,46.6
344,2018-08-05,34.6,3085.17,0,24.998,121.5155,41.2
345,2018-08-12,0.0,185.4296,0,24.9711,121.5317,37.9
346,2018-08-19,13.2,1712.632,2,24.96412,121.5167,30.8
347,2018-08-26,17.4,6488.021,1,24.95719,121.47353,11.2
348,2018-09-02,4.6,259.6607,6,24.97585,121.54516,53.7
349,2018-09-09,7.8,104.8101,5,24.96674,121.54067,47.0
350,2018-09-16,13.2,492.2313,5,24.96515,121.53737,42.3
351,2018-09-23,4.0,2180.245,3,24.96324,121.51241,28.6
352,2018-09-30,18.4,2674.961,3,24.96143,121.50827,25.7
353,2018-10-07,4.1,2147.376,3,24.96299,121.51284,31.3
354,2018-10-14,12.2,1360.139,1,24.95204,121.54842,30.1
355,2018-10-21,3.8,383.8624,5,24.98085,121.54391,60.7
356,2018-10-28,10.3,211.4473,1,24.97417,121.52999,45.3
357,2018-11-04,0.0,338.9679,9,24.96853,121.54413,44.9
358,2018-11-11,1.1,193.5845,6,24.96571,121.54089,45.1
359,2018-11-18,5.6,2408.993,0,24.95505,121.55964,24.7
360,2018-11-25,32.9,87.30222,10,24.983,121.54022,47.1
361,2018-12-02,41.4,281.205,8,24.97345,121.54093,63.3
362,2018-12-09,17.1,967.4,4,24.98872,121.53408,40.0
363,2018-12-16,32.3,109.9455,10,24.98182,121.54086,48.0
364,2018-12-23,35.3,614.1394,7,24.97913,121.53666,33.1
365,2018-12-30,17.3,2261.432,4,24.96182,121.51222,29.5
366,2019-01-06,14.2,1801.544,1,24.95153,121.55254,24.8
367,2019-01-13,15.0,1828.319,2,24.96464,121.51531,20.9
368,2019-01-20,18.2,350.8515,1,24.97544,121.53119,43.1
369,2019-01-27,20.2,2185.128,3,24.96322,121.51237,22.8
370,2019-02-03,15.9,289.3248,5,24.98203,121.54348,42.1
371,2019-02-10,4.1,312.8963,5,24.95591,121.53956,51.7
372,2019-02-17,33.9,157.6052,7,24.96628,121.54196,41.5
373,2019-02-24,0.0,274.0144,1,24.9748,121.53059,52.2
374,2019-03-03,5.4,390.5684,5,24.97937,121.54245,49.5
375,2019-03-10,21.7,1157.988,0,24.96165,121.55011,23.8
376,2019-03-17,14.7,1717.193,2,24.96447,121.51649,30.5
377,2019-03-24,3.9,49.66105,8,24.95836,121.53756,56.8
378,2019-03-31,37.3,587.8877,8,24.97077,121.54634,37.4
379,2019-04-07,0.0,292.9978,6,24.97744,121.54458,69.7
380,2019-04-14,14.1,289.3248,5,24.98203,121.54348,53.3
381,2019-04-21,8.0,132.5469,9,24.98298,121.53981,47.3
382,2019-04-28,16.3,3529.564,0,24.93207,121.51597,29.3
383,2019-05-05,29.1,506.1144,4,24.97845,121.53889,40.3
384,2019-05-12,16.1,4066.587,0,24.94297,121.50342,12.9
385,2019-05-19,18.3,82.88643,10,24.983,121.54026,46.6
386,2019-05-26,0.0,185.4296,0,24.9711,121.5317,55.3
387,2019-06-02,16.2,2103.555,3,24.96042,121.51462,25.6
388,2019-06-09,10.4,2251.938,4,24.95957,121.51353,27.3
389,2019-06-16,40.9,122.3619,8,24.96756,121.5423,67.7
390,2019-06-23,32.8,377.8302,9,24.97151,121.5435,38.6
391,2019-06-30,6.2,1939.749,1,24.95155,121.55387,31.3
392,2019-07-07,42.7,443.802,6,24.97927,121.53874,35.3
393,2019-07-14,16.9,967.4,4,24.98872,121.53408,40.3
394,2019-07-21,32.6,4136.271,1,24.95544,121.4963,24.7
395,2019-07-28,21.2,512.5487,4,24.974,121.53842,42.5
396,2019-08-04,37.1,918.6357,1,24.97198,121.55063,31.9
397,2019-08-11,13.1,1164.838,4,24.99156,121.53406,32.2
398,2019-08-18,14.7,1717.193,2,24.96447,121.51649,23.0
399,2019-08-25,12.7,170.1289,1,24.97371,121.52984,37.3
400,2019-09-01,26.8,482.7581,5,24.97433,121.53863,35.5
401,2019-09-08,7.6,2175.03,3,24.96305,121.51254,27.7
402,2019-09-15,12.7,187.4823,1,24.97388,121.52981,28.5
403,2019-09-22,30.9,161.942,9,24.98353,121.53966,39.7
404,2019-09-29,16.4,289.3248,5,24.98203,121.54348,41.2
405,2019-10-06,23.0,130.9945,6,24.95663,121.53765,37.2
406,2019-10-13,1.9,372.1386,7,24.97293,121.54026,40.5
407,2019-10-20,5.2,2408.993,0,24.95505,121.55964,22.3
408,2019-10-27,18.5,2175.744,3,24.9633,121.51243,28.1
409,2019-11-03,13.7,4082.015,0,24.94155,121.50381,15.4
410,2019-11-10,5.6,90.45606,9,24.97433,121.5431,50.0
411,2019-11-17,18.8,390.9696,7,24.97923,121.53986,40.6
412,2019-11-24,8.1,104.8101,5,24.96674,121.54067,52.5
413,2019-12-01,6.5,90.45606,9,24.97433,121.5431,63.9
